action_type.csv@action_type;drug_mechanism.csv@action_type
assay_parameters.csv@parameter_type;parameter_type.csv@parameter_type
atc_classification.csv@level1;frac_classification.csv@level1
atc_classification.csv@level1;hrac_classification.csv@level1
atc_classification.csv@level1;irac_classification.csv@level1
atc_classification.csv@level2;irac_classification.csv@level2
atc_classification.csv@level3;irac_classification.csv@level3
atc_classification.csv@level5;molecule_atc_classification.csv@level5
binding_sites.csv@site_id;drug_mechanism.csv@site_id
binding_sites.csv@site_id;predicted_binding_domains.csv@site_id
binding_sites.csv@site_id;site_components.csv@site_id
binding_sites.csv@tid;drug_mechanism.csv@tid
binding_sites.csv@tid;target_components.csv@tid
binding_sites.csv@tid;target_dictionary.csv@tid
binding_sites.csv@tid;target_relations.csv@tid
bio_component_sequences.csv@component_id;biotherapeutic_components.csv@component_id
bio_component_sequences.csv@component_type;component_sequences.csv@component_type
bio_component_sequences.csv@description;biotherapeutics.csv@description
bio_component_sequences.csv@description;component_sequences.csv@description
bio_component_sequences.csv@sequence;component_sequences.csv@sequence
bio_component_sequences.csv@sequence_md5sum;component_sequences.csv@sequence_md5sum
bio_component_sequences.csv@tax_id;component_sequences.csv@tax_id
bio_component_sequences.csv@tax_id;metabolism.csv@tax_id
bio_component_sequences.csv@tax_id;organism_class.csv@tax_id
bio_component_sequences.csv@tax_id;target_dictionary.csv@tax_id
bio_component_sequences.csv@organism;component_sequences.csv@organism
bio_component_sequences.csv@organism;metabolism.csv@organism
bio_component_sequences.csv@organism;target_dictionary.csv@organism
bio_component_sequences.csv@organism;variant_sequences.csv@organism
biotherapeutic_components.csv@molregno;biotherapeutics.csv@molregno
biotherapeutic_components.csv@molregno;compound_properties.csv@molregno
biotherapeutic_components.csv@molregno;compound_records.csv@molregno
biotherapeutic_components.csv@molregno;drug_indication.csv@molregno
biotherapeutic_components.csv@molregno;drug_mechanism.csv@molregno
biotherapeutic_components.csv@molregno;formulations.csv@molregno
biotherapeutic_components.csv@molregno;molecule_atc_classification.csv@molregno
biotherapeutic_components.csv@molregno;molecule_dictionary.csv@molregno
biotherapeutic_components.csv@molregno;molecule_hierarchy.csv@molregno
biotherapeutic_components.csv@molregno;molecule_synonyms.csv@molregno
biotherapeutics.csv@molregno;compound_properties.csv@molregno
biotherapeutics.csv@molregno;compound_records.csv@molregno
biotherapeutics.csv@molregno;compound_structural_alerts.csv@molregno
biotherapeutics.csv@molregno;drug_indication.csv@molregno
biotherapeutics.csv@molregno;drug_mechanism.csv@molregno
biotherapeutics.csv@molregno;formulations.csv@molregno
biotherapeutics.csv@molregno;molecule_atc_classification.csv@molregno
biotherapeutics.csv@molregno;molecule_dictionary.csv@molregno
biotherapeutics.csv@molregno;molecule_hierarchy.csv@molregno
biotherapeutics.csv@molregno;molecule_synonyms.csv@molregno
cell_dictionary.csv@chembl_id;chembl_id_lookup.csv@chembl_id
chembl_id_lookup.csv@chembl_id;docs.csv@chembl_id
chembl_id_lookup.csv@chembl_id;molecule_dictionary.csv@chembl_id
chembl_id_lookup.csv@chembl_id;target_dictionary.csv@chembl_id
chembl_id_lookup.csv@chembl_id;tissue_dictionary.csv@chembl_id
component_class.csv@component_id;component_domains.csv@component_id
component_class.csv@component_id;component_go.csv@component_id
component_class.csv@component_id;component_sequences.csv@component_id
component_class.csv@component_id;component_synonyms.csv@component_id
component_class.csv@component_id;site_components.csv@component_id
component_class.csv@component_id;target_components.csv@component_id
component_class.csv@protein_class_id;protein_class_synonyms.csv@protein_class_id
component_class.csv@protein_class_id;protein_classification.csv@protein_class_id
component_class.csv@protein_class_id;protein_family_classification.csv@protein_class_id
component_domains.csv@domain_id;domains.csv@domain_id
component_domains.csv@domain_id;site_components.csv@domain_id
component_domains.csv@component_id;component_go.csv@component_id
component_domains.csv@component_id;component_sequences.csv@component_id
component_domains.csv@component_id;component_synonyms.csv@component_id
component_domains.csv@component_id;site_components.csv@component_id
component_domains.csv@component_id;target_components.csv@component_id
component_go.csv@component_id;component_sequences.csv@component_id
component_go.csv@component_id;component_synonyms.csv@component_id
component_go.csv@component_id;site_components.csv@component_id
component_go.csv@component_id;target_components.csv@component_id
component_go.csv@go_id;go_classification.csv@go_id
component_sequences.csv@component_id;component_synonyms.csv@component_id
component_sequences.csv@component_id;site_components.csv@component_id
component_sequences.csv@component_id;target_components.csv@component_id
component_sequences.csv@accession;variant_sequences.csv@accession
component_sequences.csv@sequence;variant_sequences.csv@sequence
component_sequences.csv@tax_id;metabolism.csv@tax_id
component_sequences.csv@tax_id;organism_class.csv@tax_id
component_sequences.csv@tax_id;target_dictionary.csv@tax_id
component_sequences.csv@organism;metabolism.csv@organism
component_sequences.csv@organism;target_dictionary.csv@organism
component_sequences.csv@organism;variant_sequences.csv@organism
component_synonyms.csv@component_id;site_components.csv@component_id
component_synonyms.csv@component_id;target_components.csv@component_id
compound_properties.csv@molregno;compound_records.csv@molregno
compound_properties.csv@molregno;compound_structural_alerts.csv@molregno
compound_properties.csv@molregno;drug_indication.csv@molregno
